ܡܢ
ܕܝܢ
ܠܐ
ܗܘ
ܠܗ
ܗܘܐ
ܐܢܐ
ܓܝܪ
ܐܡܪ
ܥܠ
ܝܫܘܥ
ܠܗܘܢ
ܗܘܘ
ܐܠܐ
ܟܕ
ܐܢܬܘܢ
ܘܠܐ
ܕܠܐ
ܐܝܟ
ܠܟܘܢ
ܡܛܠ
ܘܐܡܪ
ܕܐܠܗܐ
ܐܦ
ܐܠܗܐ
ܗܢܐ
ܐܢܬ
ܐܢܘܢ
ܠܝ
ܗܠܝܢ
ܘܟܕ
ܐܢ
ܗܝ
ܡܫܝܚܐ
ܚܕ
ܡܕܡ
ܒܗ
ܐܘ
ܐܢܫ
ܗܕܐ
ܐܝܬ
ܐܝܠܝܢ
ܗܢܘܢ
ܘܡܢ
ܟܠ
ܠܢ
ܠܟ
ܕܡܢ
ܗܘܬ
ܥܡ
ܐܝܟܢܐ
ܐܬܐ
ܗܟܝܠ
ܡܢܐ
ܠܘܬ
ܤܓܝܐܐ
ܕܐܝܬ
ܟܠܗܘܢ
ܗܟܢܐ
ܘܐܢ
ܢܗܘܐ
ܓܒܪܐ
ܥܕܡܐ
ܪܘܚܐ
ܩܕܡ
ܘܐܡܪܝܢ
ܡܐ
ܒܝܬ
ܠܐܠܗܐ
ܡܢܗ
ܝܕܥ
ܗܐ
ܐܡܪܝܢ
ܚܢܢ
ܟܠܗ
ܐܢܫܐ
ܬܡܢ
ܗܘܝܬ
ܥܠܘܗܝ
ܒܪ
ܡܠܬܐ
ܥܒܕ
ܒܪܗ
ܗܫܐ
ܠܐܝܠܝܢ
ܐܡܝܢ
ܗܘܝܬܘܢ
ܥܒܕܐ
ܠܝܬ
ܕܝܫܘܥ
ܗܝܕܝܢ
ܕܐܦ
ܝܕܥܝܢ
ܝܗܘܕܝܐ
ܥܡܗ
ܡܢܗܘܢ
ܕܐܡܪ
ܬܘܒ
ܚܕܐ
ܫܡܝܐ
ܫܡܥܘܢ
ܟܗܢܐ
ܥܢܐ
ܡܢܟܘܢ
ܢܡܘܤܐ
ܠܘܬܗ
ܐܚܪܢܐ
ܐܚܝ
ܘܥܠ
ܡܢܘ
ܪܒܐ
ܡܪܢ
ܦܘܠܘܤ
ܐܙܠ
ܒܢܝ
ܡܝܬܐ
ܬܠܡܝܕܘܗܝ
ܡܪܝ
ܐܪܥܐ
ܟܢܫܐ
ܕܡܪܢ
ܢܦܫܗ
ܐܝܬܘܗܝ
ܟܐܦܐ
ܐܢܬܬܐ
ܡܫܟܚ
ܡܪܝܐ
ܚܝܐ
ܨܒܐ
ܕܡܫܝܚܐ
ܘܐܝܬ
ܡܕܝܢܬܐ
ܒܟܘܢ
ܐܒܐ
ܒܬܪ
ܕܗܘ
ܚܙܐ
ܠܘܬܟܘܢ
ܕܐܝܬܘܗܝ
ܡܠܐܟܐ
ܒܠܚܘܕ
ܕܐܢܫܐ
ܠܒܪ
ܕܐܢܐ
ܘܐܦ
ܐܝܢܐ
ܥܡܗܘܢ
ܕܐܢ
ܕܐܬܐ
ܥܡܐ
ܘܟܠ
ܗܘܝܢ
ܡܠܟܐ
ܢܒܝܐ
ܟܠܗܝܢ
ܕܩܘܕܫܐ
ܕܡܪܝܐ
ܙܒܢܐ
ܗܘܝ
ܥܠܝܗܘܢ
ܘܐܬܐ
ܬܗܘܐ
ܥܠܡܐ
ܐܝܟܐ
ܚܠܦ
ܒܥܐ
ܐܝܕܐ
ܕܥܠܡܐ
ܬܪܝܢ
ܕܠܡܐ
ܘܗܘ
ܒܗܝܡܢܘܬܐ
ܪܒܝ
ܕܟܠ
ܡܡܠܠ
ܝܗܒ
ܡܠܐ
ܕܥܠ
ܒܝܕ
ܛܒܐ
ܬܠܡܝܕܐ
ܒܝ
ܝܘܡܬܐ
ܐܦܠܐ
ܠܚܕ
ܗܝܡܢܘܬܐ
ܠܝܫܘܥ
ܕܥܒܕ
ܒܗܘܢ
ܥܡܟܘܢ
ܒܢܝܐ
ܠܚܡܐ
ܒܢܝܢܫܐ
ܘܗܘܐ
ܠܗܘ
ܪܒ
ܩܕܝܫܐ
ܕܠܥܠܡ
ܛܝܒܘܬܐ
ܕܒܗ
ܥܠܝܟܘܢ
ܐܢܝܢ
ܝܬܝܪܐܝܬ
ܒܟܠ
ܒܫܡܝܐ
ܠܥܠܡ
ܥܡܡܐ
ܕܡܐ
ܫܡܥܘ
ܝܘܚܢܢ
ܐܚܐ
ܢܗܘܘܢ
ܐܒܝ
ܒܝܫܬܐ
ܚܙܘ
ܫܡܥ
ܒܪܢܫܐ
ܩܕܡܝܐ
ܕܝܗܘܕܝܐ
ܘܗܐ
ܟܡܐ
ܩܠܐ
ܝܘܡܐ
ܩܡ
ܗܢܘ
ܒܪܘܚܐ
ܡܠܟܘܬܐ
ܕܢܗܘܐ
ܥܠܝ
ܦܝܠܛܘܤ
ܠܐܘܪܫܠܡ
ܘܐܬܘ
ܕܫܡܝܐ
ܠܡܐ
ܕܟܕ
ܤܦܪܐ
ܕܠܝܬ
ܘܐܡܪܘ
ܤܓܝ
ܠܘܩܕܡ
