je
se
da
na
ne
od
će
što
su
jahve
za
koji
ga
mu
jer
te
kad
neka
ti
iz
ih
on
sve
kao
mi
ću
to
po
reče
sam
im
ja
ali
tako
me
tko
bog
pred
li
svoje
oni
si
ako
do
ni
sa
pa
nije
kako
bi
tada
vas
nad
bijaše
sin
nego
dana
svoga
vam
kralj
svi
boga
narod
riječ
neće
sina
koje
svojim
moj
sinovi
ili
biti
više
zemlju
njega
njima
njih
zato
bude
jahvi
među
bio
onda
dok
prema
dan
još
zemlji
svoj
tvoje
svoju
evo
njegova
odgovori
govori
jahvina
nas
moje
njemu
vi
protiv
ovako
zemlje
bilo
ime
vama
zbog
tvoj
kralja
ćeš
mene
ruke
ljudi
ovo
čovjek
ondje
riječi
gdje
isus
njegove
jedan
dakle
dođe
sinova
sav
tebe
onaj
zar
toga
david
njegov
svim
ste
samo
njim
tebi
koju
naroda
nam
ona
koja
meni
kralju
sada
bili
sedam
bijahu
ćete
bit
bogu
sebi
svome
oca
dom
opet
ruku
smo
joj
dobro
mojsije
tri
nema
srce
pod
vrata
svojih
sva
ima
godina
nisu
vrijeme
zatim
njegovu
već
ta
mjesto
nitko
tobom
nek
grad
ono
god
jahvu
život
moja
one
pet
ništa
oko
dva
svih
godine
niti
usta
bez
zašto
njegovim
dvadeset
tvoja
plemena
oči
otac
gle
svaki
žena
svojoj
kćeri
k'o
zlo
bila
kod
čovjeka
danas
njegovo
jahvin
nj
njihove
kada
učini
može
narodu
ovaj
glas
mojsiju
dade
put
zemlja
žene
ode
doista
četiri
žrtvu
očima
jeruzalemu
vojskama
koga
svećenik
tisuća
poslije
sinovima
dao
njihovim
drugi
onoga
između
rekoše
prije
budu
rekao
taj
posla
bože
mnom
sluge
sebe
doma
djela
isusa
nama
potom
duh
učinio
njegovi
domu
jeruzalem
svemu
svega
izraelov
onima
dvije
izraelci
njihova
grada
nato
rodi
uz
tvojim
svom
nisam
božji
vode
njegovih
ćemo
neću
lice
kući
mnogo
vrati
upita
bih
gospod
jahvom
pak
stoga
vaše
reci
šaul
preko
onih
pošto
uze
moga
srca
svojom
zajedno
izraela
neki
krv
jahvinu
tvoga
kuću
jednoga
kraj
sinove
izraelu
žrtve
sluga
deset
kuće
izrael
kraljevstvo
svu
imao
šest
ljudima
vaš
gradu
lakata
sinu
tijelo
stotina
mjeseca
jest
dolazi
govoreći
preda
sine
došao
poput
davidu
šator
boj
svojega
zapovijedi
kojima
tu
govorio
pravo
grijeh
čovjeku
sad
njoj
doći
savez
blago
stavi
mojim
kaže
žrtvenik
idi
kažem
mir
nisi
narodima
čini
neba
njime
života
strane
tvojih
zakon
uđe
pustinji
gore
druge
krista
ženu
sobom
dati
ljude
našega
treba
more
davida
srcu
zaista
naš
mora
glavu
milost
čovječji
brata
dane
trideset
ove
bogom
moju
