og
til
de
han
som
at
jeg
for
det
er
den
af
ikke
skal
på
med
men
en
dem
der
du
ham
da
så
herren
fra
har
mig
dig
sig
hans
var
sagde
thi
ved
alle
gud
eder
deres
din
over
min
om
et
havde
vil
hvad
søn
sin
vi
efter
kom
herrens
op
se
når
herre
siger
os
blev
eders
ud
eller
være
dag
folk
hus
alt
nu
dine
mit
guds
også
kan
dit
dette
ord
mod
hele
således
gik
må
israels
land
sønner
have
hun
hvor
gå
derfor
mand
sit
hen
ej
imod
kommer
israel
selv
mine
ind
hånd
bort
ned
david
ingen
sine
kongen
jesus
moses
svarede
gør
gøre
tog
lod
jorden
hos
blive
denne
gav
derpå
uden
ere
fader
konge
lad
navn
tilbage
jerusalem
to
komme
end
hvem
hver
skulde
man
folket
give
fordi
dog
hvis
skulle
gjorde
hende
vor
sige
kong
mænd
dage
år
disse
noget
bliver
nogen
tid
under
frem
åsyn
går
landet
øjne
drog
sammen
mange
hjerte
tage
anden
hørte
sted
skyld
ægypten
brød
dets
bud
brødre
giver
intet
sendte
al
mere
stod
jo
idet
står
slægt
lyder
judas
børn
syv
gjort
vare
tre
iblandt
hellige
juda
kristus
få
får
andre
ting
præsten
store
vilde
ret
israeliterne
døde
fik
vide
førte
foran
kun
kunde
før
byer
tale
medens
broder
enhver
dersom
vrede
lade
een
stor
samme
hvorfor
satte
vej
slog
liv
tjener
saul
byen
dens
blandt
lagde
vore
ånd
både
her
himmelen
spise
ja
høre
hendes
vand
givet
lader
indtil
endnu
hustru
holde
ser
fædre
drage
jakob
røst
sjæl
bringe
ondt
hærskarers
onde
lige
kende
tro
mund
sagt
faldt
guld
bragte
by
vendte
nogle
vel
godt
menneske
alen
ligesom
blod
atter
folkene
stå
siden
bor
holdt
aron
klæder
lov
talte
hvorledes
hører
datter
fred
tager
tag
holder
kongens
meget
rige
frelse
sværd
ene
davids
heller
salomo
moder
første
hoved
hør
råbte
ad
josua
jordens
bo
fem
stamme
fire
sølv
rundt
mennesker
nåde
dyr
gerninger
kød
fjender
ild
hjem
kaldte
frygt
spurgte
guder
kvinde
synd
dø
død
taler
glæde
præsterne
ældste
ære
døtre
konger
pagt
bleve
morgen
