in
je
se
da
ki
ne
so
pa
na
gospod
po
za
ga
ko
iz
sem
od
kakor
jih
naj
si
njih
mu
to
bi
ti
tudi
reče
bil
vse
ali
ni
bo
bog
kajti
svoje
ker
pred
mi
tako
kar
jim
bodo
te
ter
svojega
jo
jaz
nad
me
bilo
do
pri
zakaj
sin
glej
med
dan
vam
on
bili
torej
zoper
vas
svojo
gospoda
sinovi
kralj
njim
ta
pride
ljudstvo
boga
če
tedaj
vsi
kaj
gospodu
bodi
zato
moje
tvoje
bila
svojih
ob
li
še
bode
kdor
tega
moj
kdo
proti
njegovo
ste
sinov
njega
pravi
njegove
govori
ako
smo
mož
kralja
tisti
dal
vseh
niso
hišo
njegovi
govoril
nas
bom
tem
več
storil
njem
sta
ime
izmed
tvoj
gori
sina
vsem
njegova
roko
deželo
dni
hiše
deželi
svojim
nam
meni
jezus
tebi
rekoč
david
svoji
veli
ljudstva
hiši
sinu
moja
očeta
mesto
roke
tisoč
njimi
namreč
njegov
mene
srce
vsak
rekel
daritev
besede
tvoja
bogu
oni
sedaj
mesta
svojemu
boš
tebe
videl
njemu
kralju
vi
gre
njegovih
kako
dokler
odgovori
teboj
potem
zaradi
dobro
šel
mojzes
svoj
glas
mestu
prišel
zopet
let
boste
pod
reko
ampak
vzame
tvoji
temuč
nego
njegovega
zgodi
oče
prav
svojem
imel
ima
dela
jehova
dežele
zemlje
vsa
brez
govoreč
pridejo
veliko
izraelovi
oči
nisem
mojega
menoj
vami
ljudstvu
kateri
zavoljo
ji
kadar
vekomaj
vso
tam
drugi
beseda
izraelovih
strani
mojzesu
milost
tvojih
doli
jeruzalemu
dva
vojskami
zemlji
gospodova
nihče
vendar
nič
duhovnik
sredi
greh
imenu
gospodovo
možje
nato
sebi
duh
srca
žena
šli
moža
sedem
gospodov
božji
zapovedal
postavi
tvojega
samo
sam
pojdi
ven
moji
jezusa
ves
življenje
žene
njej
izraela
človek
jeruzalem
eden
izraelu
izrael
zemljo
hudo
tja
vsega
tu
dne
kjer
ona
postavil
prišli
poslal
gospodom
nje
sinove
svojimi
videli
besedo
pravim
vode
vaše
tistih
rodil
izraelov
pošlje
pot
toda
kot
danes
ogenj
postave
dam
ženo
že
ondi
mojih
slišal
sinovom
vstane
čas
čez
rodu
bratje
mojo
savel
ju
res
kri
seboj
more
teh
prosim
sebe
njegovem
duha
le
stori
mnogo
roki
glavo
hčere
vrata
katero
hlapec
boj
glejte
božje
našega
daritve
davidu
delo
vsej
meso
prišla
gospodove
kraj
silno
okoli
naredil
tri
kraljestvo
moč
bolj
nisi
puščavi
tej
narodi
obličje
vidi
duša
drugega
duhovniki
kristusa
dve
tvojo
ničesar
tiste
daj
skozi
ostane
mir
času
vzemi
komolcev
brata
očeh
slišali
srcu
moči
hočem
dnevi
poti
tisto
enega
sto
pet
zlata
usta
svet
meč
odide
bile
smrti
svoja
eno
vaš
njegovim
reci
umrl
vsako
pravičnosti
hiša
niste
letu
nazaj
storim
deset
razen
človeka
vzel
stopi
zapovedi
življenja
katerih
oltar
reči
izraelovim
oblačila
pisano
naš
delal
hlapci
zemlja
očetom
izraelove
gore
noge
krvi
tvojim
obličja
zdaj
malo
očetov
živi
ljudi
njene
gospodovi
noči
prvi
zavezo
dušo
drug
šator
kraljev
očetu
hči
del
jakob
dneh
salomon
hlapca
jozue
davida
hodi
šla
velik
pade
prihaja
očmi
otroci
dežela
vaših
rok
iti
njo
živel
vred
pravičnost
gredo
naše
morje
kruha
nami
temu
resnično
kristus
prebivali
vodo
kruh
imeli
gotovo
velika
milosti
noč
časa
vsemi
vojsko
jedli
ust
sveta
zatorej
storili
juda
brat
službo
skrinjo
izpred
poslušali
božjo
gorje
učenci
knezi
smrt
nanj
drugo
kristusu
nasproti
roka
judov
krivico
mečem
aron
bogom
znamenje
narodov
miru
večno
zakraljeval
vaši
veliki
kje
imena
kraljem
sami
jezusu
vedno
saj
bomo
jima
konec
kralji
angel
mimo
očetje
seme
sad
vsakega
hodil
poleg
mogočni
duše
enako
slava
nekateri
sliši
katerem
mestih
daleč
polju
rodila
katere
neba
strah
zaveze
vpraša
tistega
mojemu
pojdite
otroke
oltarju
vina
srebra
besedi
imajo
kdorkoli
daje
štiri
ljudstvom
nebesih
dejal
misli
gospodovih
noter
karkoli
blizu
egipta
biti
bodite
morju
stran
nebes
mest
govore
judovih
zgodilo
ljubi
mora
duhovnika
peter
zlato
možu
storiti
pokliče
kraju
delajo
modrost
naredi
dvanajst
otrok
prorok
starejšine
hotel
izraelovega
sodbe
meseca
prebival
vrat
sramoto
napravil
mesa
vstani
narode
vidijo
jožef
dediščino
leviti
kraljestva
vsemu
mojem
nikogar
jeruzalema
vrne
hlapcu
govorili
slavo
duhu
nebesa
velike
zunaj
jedel
povedal
tvojemu
pota
njen
darilo
vaša
judovega
nobenega
obličjem
prinese
dvajset
dar
leto
imenuje
vratih
sme
mrtvih
morja
samuel
ezekija
leta
ljudje
hčer
pridi
prebivalci
sicer
ušesa
postava
rod
vanj
imela
goro
velel
božja
ovce
šest
delež
hoče
izraelom
reši
hudega
mati
bodem
kraja
zjutraj
udaril
vsakemu
marveč
nima
pavel
štirideset
dalje
naproti
mojim
sodbo
treba
kolikor
egipt
filistejcev
mogli
sveto
krivice
ženi
meča
narod
egiptovske
abraham
hitro
egiptovski
mogel
kosti
bratom
filistejci
potu
delali
božjega
hodili
človečji
človeku
vem
petdeset
prisegel
katerim
tla
postavo
vodi
precej
knjigi
veri
poslušaj
namesto
drugemu
pojde
duhovnikov
glasu
kamor
govoriti
njiju
pošljem
ljubezni
temi
kamen
gospodovega
šatora
sinova
sedel
može
sinom
vpričo
bratov
besed
čeprav
veste
glave
upanje
judje
odtod
rodovinah
žgalno
blagor
naši
spoznajo
slave
konca
ognjem
babilon
imenoval
veselje
njena
mesec
udari
solnce
pripeljem
nismo
druge
telo
gospodovem
tretji
tvojem
našel
vojvoda
nikdar
jesti
oko
puščavo
modrosti
jeremija
njeno
umre
drugim
skupaj
preden
služili
seklov
dotakne
plen
nobene
roda
svetišča
pašniki
nebo
en
trideset
prebiva
rekli
najde
pristopi
vojske
nekaj
srd
česar
judovi
umrje
greha
postal
napravi
prišlo
množica
srebro
volji
živino
trdno
zanj
velikega
dali
sovražnikov
ukazal
poslušajte
govóri
vsaka
svetosti
svetega
jeze
reke
prineso
egiptu
olja
pričevanja
glasom
veter
svetišče
prebivališče
žive
pomoč
življenju
telesa
toliko
peljal
zbor
jedilno
elija
sedmi
daruje
hočeš
stal
prah
imam
pripeljal
videti
izraelova
sodil
priti
joab
vero
rodi
šatoru
pridem
hlapcem
materi
ostanek
sveti
govorim
rodovina
poglavarji
katerega
hlapcev
dati
faraon
plačilo
prebivalce
jagnje
ljubil
brate
vedel
voz
duhovniku
pravijo
svetu
pravični
blagoslovil
položi
stvar
strahu
matere
čemu
jeza
nesrečo
vladal
čast
jezo
posode
izvolil
luč
zveri
jed
rodov
pojdem
njegovemu
prestol
število
bogovom
mnogi
ve
črede
imaš
grem
njegovimi
koliko
jordana
aronu
umreti
jonatan
voda
vzeli
pripravil
čigar
dolini
rešil
vzhodu
proroka
zapove
njeni
drugih
dvesto
desno
jugu
ostalo
stóri
star
straže
faraonu
čujte
ljudem
zapoved
amen
ljubezen
živali
oltarja
neki
denar
zanje
kraljeval
vhodu
postane
mojzesa
bodisi
veke
dediščine
uho
druga
vino
pridite
sela.
jé
šeststo
rodovine
našli
pripelje
posest
naših
nikakor
hodijo
jakoba
gospodar
sporoči
jordan
naprej
niti
glava
žgalne
bogovi
zase
izraelovo
oblast
človekov
janez
stvari
neprestano
prej
tista
odpeljal
vstanejo
dajte
okrog
obrne
pusti
tistim
stoji
kraljeve
izraelovimi
krivdo
živeli
molitev
psalm
poslušal
pojdeš
mesu
resnici
daroval
dosti
jakobu
oljem
obleko
obraz
številu
koga
arona
prestolu
pokopali
podobo
stali
judovem
blagoslovi
njenih
ostal
bratu
prikazni
piti
bali
pripravi
postavijo
višji
jezik
darovali
povrne
obilo
bodeš
dá
lesa
klical
lahko
nikar
sklenil
dnevih
velikim
poprej
palico
sede
bližnjega
mnogih
hišah
pojdejo
pesem
jozuetu
zlatom
gorah
grehov
sovražniki
