ipi
ici
oti
shi
ci
ni
ki
pic
caye'k
okinan
iwci
kshe'mine'to
cisus
nini
kci
win
e'wi
nkot
ke'ko
iw
shiw
osam
shpumuk
ninwuk
kishpin
wusimi
kinwa
e'ki
ninwun
pini
co
noti
we'we'ni
ie'i
anit
pan
nishci
kin
mini
niw
kikito
nin
ke'iapi
shoti
si
kiw
kikitwuk
kshe'mine'ton
cinose'ne'muk
pitu
ke'cwa
we'kwe'ntuk
nishinape'k
tanake
cwiuk
nish
cisusin
kaoci
kakish
e'kishkiwuk
ktinum
mtino
otanuk
panin
wiii
mce'sh
nishinape'n
nume'okumkok
kik
ke'knomowacin
okinawan
shonia
kiwosmukon
oki
okuma
knayst
kishkok
we'kwnici
winwa
cipam
otici
cowi
we'kwismukot
nash
nkom
tso
koti
kie'nup
kici
okinkwe'twan
ke
coci
tinici
can
ke'ci
iukwan
cak
pe'nisiuk
ninan
okikon
kikitowun
maoce'tincin
ke'oci
ne'tum
coin
wikwamuk
coke
te'pe'nke't
coni
kipie
kashu
kitwak
cake'ko
mtatswak
panakwsit
te'pwe'ie'ntukuk
wikane'iin
nocma
oci
te'pit
mtatso
iwsi
e'tshi
e'ci
me'ikiscik
wi
kiwci
me'kwa
we'nici
we'c
san
cwtie'uk
e'ie
pama
okumauwun
nakanacimot
kishinkaso
iciptuk
kapte'n
pe'shoc
ie'k
nasap
te'pe'nmin
e'tat
mosus
ninituk
e'iit
kapiat
e'tso
okikitowun
kitwuk
cwiin
e'kiwuk
ke'kowi
kakitot
shkote'k
pkwe'shkin
tpakwnuke'wun
otisi
tanake'
okie'iin
ocipamin
wiwun
e'nut
psukwin
onini
e'ciiinit
te'pe'nke'n
e'ntiakuk
kanomkuk
kapiawat
canin
micimine'ton
nkoci
shian
tpukin
cocu
e'kinat
winke
nikane'ituk
oie'o
e'pwamshi
me'kwaci
e'kiw
osin
nikan
taci
e'pic
nos
wikwam
shkwe'iak
kanotmoat
kikci
panakwsincin
te'pwe'ie'ntumnincin
iaianke
e'kishiat
koswa
okumauwunuk
nakanacimocuk
e'wipwa
pe'ne'pe's
tinoswunuk
nwakancik
isne'iin
ke'niniuk
cipamin
napkwanuk
okiw
e'nasmupnit
nume'okumuk
kashi
coke'ko
kaie'cuk
e'kipsukwit
cowike
oninwuk
kwiuk
kishkuk
napkwan
kishie'k
kisis
opmitakaimin
kishie'wak
mamwi
wiapuk
wikane'iwan
pinoce'iin
we'kwismukwiin
kawapmawat
micum
winsi
ie'ki
ce'ms
e'knomowacin
ktukanuk
e'tshowat
me'matmot
kapte'nin
shiak
maoce'ticik
oninwun
pinip
knaystin
kikitonin
wiwunuk
tpinwe
cwte's
me'ikisnincin
te'me'skusuk
tpakwnuke
me'ni
kine'ntum
omishine'we'min
cosip
iukwanuk
e'kintomat
pine
papuk
e'shnakwuk
iakwnokancin
otan
namkumuk
te'pe'nmukwocin
ke'win
sin
te'pe'nmiak
kimamkate'ntumwuk
mskwi
otinoswunuk
kokwansukumuk
me'matmocuk
me'kwe
ktukan
nianuk
nakansincin
shkwate'muk
knik
pe'ne'pe'sin
msinukin
ce'kap
kanotuk
su
kipie'wak
ie'o
kishuk
e'ciiit
e'shnukasot
ke'shi
kwe'n
me'anuk
nki
ka
kito
kanat
te'pe'ntuk
e'nume'kishkuk
nouk
pe'kansincin
kipie'naskakon
kitshik
kwe'k
ne'ne'ish
e'pwamshu
wic
kinan
kapwa
ke'c
e'nasmupit
kipie'shie'k
pituin
kosnanuk
e'ne'naye's
nakanse'cik
e'shie'uk
kimoc
pkan
kawapmat
pmatsowun
mine'to
nie'waptuk
okiwapman
shuwe'ntakwsik
e'nasmupwat
tpakwnuke'wunuk
wapuk
mamkate'ntumwunin
okipie'nawan
shii
shitinish
otanin
sayimun
pmitaka
e'winsawat
e'icik
katotuk
coi
maoce'ticuk
kipie'n
taoci
otokumauwunuk
kanotmowat
tanak
e'wishiawat
e'ciit
nici
wishkiswun
okinokanan
cipitupwunuk
nishuk
e'pite'ntakwuk
nsuk
e'shnukate'k
okiwitmowan
kiik
pine'
pinipin
cape'uk
kine'ntumwuk
kinwe'sh
nome'n
pe'stus
nkipie
iacimot
we'onitnuk
ise'us
sayiman
e'kine'se'at
okipie'naskakon
e'ii
kos
mie'wuk
ke'iapuki
nkotuk
we'npie'ke'cuk
kote
winci
kwe
tsopon
kishi
pinoce'iuk
katshi
cosuwi
cik
iacimowin
micimishkwin
pkwe'shkinin
tsuk
okiknonan
se'cwsiuk
pituiin
pwa
cowiii
okintoman
e'nume'kasie'k
kimaoce'tik
we'npie'ke'ie'k
kuke'ntanawa
e'tanit
wikwtowun
nwakancuk
nakan
sisine'uk
shumaknishin
wat
sayne's
ipisusuk
piniks
e'knipe
napikwan
okwisin
ne'pwakancin
cosu
okuman
e'kishiawat
pici
notakwsuwun
e'wishiat
ke'ctapie'nwe't
e'shiat
ninsi
micimine'to
sinie'uk
cosi
e'icuk
pke'ci
conukwni
ne'iap
okwisun
mine'ton
kipie'mkit
e'pkotniak
mikwe'wun
e'taian
te'pnak
kapie
e'nmupkonianuk
kcikumik
otukimwak
pnoc
kcukumik
ke'kie'pikwancin
okiminan
kikitowat
okumak
pe'kanuk
e'tsuk
mnukwackin
maci
mikce'wiwun
ne'pwakat
e'kitot
te'pwe'ie'ntumwun
in
nianin
e'kiminat
e'pkotnianuk
kipie'k
ke'ctaosincin
isniin
nswi
nso
ke'nomkuk
kakishkitot
e'tshuwat
okimkawan
kanotake'wat
me'matmocik
e'pwa
kakitnit
ke'kie'tnamtakwsukwe'n
piat
kaminit
payne't
tshi
nom
okipsukwitnan
kosnanin
ne'se'ni
kipsukwik
kpakotiwkumkok
okinokanawan
kuninius
nkikit
sise'
shici
sayne'sin
wakakinuk
nkinuk
ce'kapin
cosipin
we'cmokuk
okinatawan
tinipi
we'shknikit
iukwanin
mikwe'wunin
e'tnukie'wat
nkwis
otokumauwun
kiwtayiukwan
kisate'ntumwun
kakuk
otonik
sinik
kuminin
ke'nini
onicansin
kishpinci
pnowi
ninci
nkote'ii
nocima
kwe'
kitotum
e'
owiii
kic
ikwamsuk
pitike'n
shkwate'm
mtinoie'k
kshkishuk
wia‘w
mantanshuk
caye'ksi
e'kipiat
e'kinkwe'twat
piacuk
e'kipie
e'ciinit
mcimine'ton
we'ni
ini
kawaptumwat
kanmamacit
shomnapo
kikiak
e'nawat
kan
isniuk
mantanshin
nakanacimoncin
e'kacinincin
shitnish
pe'kansit
we'kwe'nshutuk
msinukinuk
ncipam
cone's
iuwak
kwe'minkan
wishkwakiwuk
okine'nmawan
okic
minuk
kawaptuk
katacuk
ositik
nie'wuk
pmatsit
kikitwun
e'kisakuk
maoce'tiwat
pmitakaiin
ke'ne'niuk
ionukuk
onice'n
shinin
e'nipwunit
nicansin
paskumwacin
ktukie
wika
kikitot
te'pe'nmit
wanakwuk
onukmuk
tapici
te'pe'nmukocin
ke'winwa
okiwtapnan
e'pkoniak
e'wiwaptuk
kicipitupi
okipkitnan
kimane'k
kinipwi
kikitowin
nomkuk
kapsukwitnat
mamawi
okshe'mine'tomin
e'wiwci
kipmukocin
e'pkonianuk
te'pwe'ie'ntuk
onikansimwan
iwnuk
sisinie'uk
nkiwci
piwapkwe'n
kaka
kikitok
ikoniumuk
e'shumnit
nkine'ntamin
timotius
nkishiamin
psukwiwun
nkipiamin
nakansit
pe'nis
pmatsowunin
kiwish
e'pianit
tinipici
otokumamwan
ninke
kanotwawat
pinoce
osaw
omishiniwe'min
otukon
otapin
e'nutin
kaye'k
kinaptum
iacimocuk
iacimoncin
te'pe'n
e'kipie'naskakot
se'cwsiin
pite'ntakwsi
one'cik
te'pe'nmukwiin
mishinwe'n
cikcukum
e'te'nuk
npowin
e'te'k
we'wikane'itincin
mnoacimowun
ne'nie'psincin
kiwcupie'n
namiukwan
pituk
e'wiwaptumwat
kinie'sansi
kpakwotiwkumkok
ktinin
kate'k
e'‘
mish
tpash
me'noshuwe'psincin
maocicke
niniwun
pine'‘
knomkit
cowiki
te'pwe'ie'ntume'k
mtuk
tpinowe
kshkishkok
e'suk
mtukok
kaoshitot
kuke'ntumwat
isne'iuk
e'tnite'mok
e'tnwe'iapte'shnuk
okine'se'an
kipie'
pe'pamsacuk
ne'poncin
piamkuk
iuwat
e'kiposit
kuke'ntumok
kitwun
towat
okiwice'wan
kaokwismukot
pie'mkit
ke'showe'puk
e'wase'iak
e'inincin
otansin
me'noshuwe'psit
mpish
we'kwonici
no‘wmtukwakik
we'npie'kate'k
e'nasmupiin
ciki
e'tshitatuk
ke'kie'patsincin
e'we'p
we'kwismit
e'kinmamacit
okinkwe'twawan
nsokishuk
ke'o
ociiukwan
ne'kwuki
nkotwak
nswapituk
tacishina
kaiit
e'ne'ntakwuk
e'kimacit
minkan
kumkok
nashci
witmoshinak
sayman
e'wiminat
kikisate'ntum
kokpinaknin
kcukimik
kise'ksik
kie'nupci
kukishie'p
e'kinkinat
kake
washu
otinan
paskukin
mosusin
onicinuk
maocicke'wun
pite'ntakwsit
pmatsowunuk
shaktso
e'ciiuwat
nikane
kuminak
siwnokamshi
e'ni
ntom
tokum
kcinume'okumkok
kciotanuk
