şi
de
să
în
lui
pe
nu
cu
din
la
se
au
ca
va
care
este
domnul
ce
voi
el
un
zis
le
mai
pentru
că
căci
ei
dar
cari
cînd
lor
vor
am
s'a
te
domnului
dumnezeu
fi
vă
sînt
israel
după
tot
fiul
dacă
ai
toate
înaintea
făcut
eu
cei
mi
mă
fost
tău
meu
era
iată
aşa
nici
pînă
toţi
dela
cel
al
fie
împăratul
prin
ţi
împotriva
cum
ta
peste
isus
s'au
tu
dat
ţara
vei
fiii
casa
ea
ne
acesta
mine
mea
dumnezeul
aceea
mare
tine
său
aceasta
atunci
face
david
ziua
cine
poporul
luat
zice
tale
veţi
fără
răspuns
ci
pus
iuda
moise
noi
toată
erau
îi
mîna
venit
da
acolo
sau
numele
pentrucă
împăratului
apoi
mijlocul
astfel
celor
îşi
om
oameni
nişte
văzut
avea
mele
spre
decît
unde
acum
cuvîntul
inima
pămînt
copiii
tatăl
cele
faţa
dus
fiecare
vorbeşte
ale
locul
aceste
zi
doamne
trimes
omul
două
împreună
mînile
aţi
născut
adus
îl
îţi
ia
rău
ele
tăi
bine
vorbit
hristos
trei
îmi
lucruri
oamenii
ierusalim
pricina
facă
iar
are
orice
între
ani
şapte
afară
auzit
despre
n'a
parte
casei
lucrul
dumnezeului
nostru
unul
acela
mult
dă
saul
mii
asupra
chiar
ceice
spus
lîngă
nimic
iacov
poporului
ochii
voastre
cît
foc
celui
ajuns
înainte
săi
eşti
nimeni
faţă
vostru
aminte
duhul
zile
cetatea
aduce
spune
sute
aur
dintre
sfînt
cuvintele
vremea
ieşit
numai
tatălui
doi
tuturor
fiilor
fiindcă
acestea
aaron
partea
cinci
cea
voastră
s'o
omului
pune
n'au
plecat
copiilor
ar
poate
viaţa
iarăş
lucrurile
patru
fii
vom
egiptului
mei
fraţii
pămîntul
într'o
loc
fac
cetăţile
voştri
împărat
oare
prea
glasul
putea
pămîntului
întors
supt
veni
douăzeci
popor
gura
m'a
solomon
dea
apă
înapoi
cetate
început
întoarce
rămas
robul
faraon
ţară
război
mari
poruncile
vine
dintîi
către
zilele
trebuie
spun
faci
găsit
iosif
oştirilor
faceţi
chemat
scos
casă
unii
aceştia
sufletul
muntele
sa
argint
oamenilor
pentruce
murit
drept
vin
suit
cineva
iosua
sus
părinţilor
legea
multe
fiu
avraam
preotul
totuş
aruncat
aducă
unui
ridicat
sîngele
vedea
cer
împrejur
părinţii
slava
neamurile
picioare
sculat
căpeteniile
egipt
mulţi
mîncare
dau
jertfă
scris
drumul
puterea
duce
tare
an
capul
coţi
încă
vină
pentruca
preoţii
fratele
într'un
mînia
zece
trecut
intrat
printre
vreme
ţării
ierusalimului
adevărat
împărăţia
foarte
sabia
aici
şase
picioarele
poruncit
m'am
ori
pustie
n'am
nou
singur
calea
lucru
noastre
locuitorii
noaptea
slujba
căpetenia
zicînd
li
sînteţi
putere
porunca
nevastă
neam
sîntem
lua
dinaintea
du
trupul
sută
altul
pace
cetăţii
mînă
domnie
lăsat
căzut
pavel
cortul
ascultă
moarte
noastră
jos
întîi
cunoscut
departe
slujitorii
aşezat
babilonului
milă
altar
neamuri
noştri
bun
dupăce
alţii
noapte
v'am
efraim
bucurie
răsărit
oricine
cortului
fraţilor
ucenicii
doua
dumnezeule
număr
luaţi
timpul
bună
merge
răi
ceva
zic
mînca
însă
drum
avut
femeie
treizeci
moartea
ispăşire
mîncat
azi
bătut
vrăjmaşii
vrea
aduceţi
pietre
aceia
trece
astăzi
seminţia
petru
urmă
lege
pogorît
arătat
pîne
ascultat
adevăr
darul
vii
pot
întins
bea
spună
hainele
binecuvîntat
făcuse
deci
primit
ascultaţi
