tura
nu
yus
ni
tímiayi
shuar
nuna
ashí
ti
shiir
jesus
asamtai
tuke
pénker
nekas
yusa
winia
antsu
israer
tusa
ju
nuyá
tuma
ii
uunt
nui
wi
tiarmiayi
chíkich
nú
yajauch
núnisan
niisha
aents
tu
aya
nusha
tutai
asa
ame
tusar
jesusan
nunkanam
nujai
uuntri
niin
shuaran
kristu
yúsan
túrasha
chichaman
paant
nuka
tusan
ainiawai
penké
métek
untsurí
yaunchu
kame
tsawant
ainia
nankaamas
akupin
ana
shuara
atumsha
ataksha
chicham
wisha
kakaram
yúsnan
yamaikia
atumí
péprunam
nii
jeen
ásar
aishman
juna
iwiaaku
imiá
jesukrístu
atumin
tawai
chikichik
papru
iisha
jesusa
yuska
niijiai
tunáa
iin
warí
shuarsha
nunkanmaya
nayaimpinmaya
enentáin
mash
ishichik
nunasha
aintsan
chicharuk
nuinkia
emka
yamái
átum
tusarum
ukunam
tájarme
pítiur
nayaimpiniam
takui
nuwa
wakaní
asarum
iis
wikia
ántar
suntar
ármiayi
wémiayi
akupkamu
túramtai
ṡurukamtai
chichaak
ninki
atí
mai
tana
tsawantai
muisais
núnaka
unuiniamuri
wats
ankant
patri
jesussha
naari
asan
wárik
aentsun
itiurchat
jui
átatui
ain
yusjai
chichamen
wáiniak
jimiará
yamaram
uuntá
timiai
jerusarénnum
aarmaiti
armia
jú
timia
nuikia
uunta
antukar
amesha
tunaan
shuarjai
penker
papinium
tusam
jeamtai
nuisha
etserin
iikia
túrawar
uchirí
núkap
yatsuru
atak
shuáran
juan
túram
kuítian
wijiai
pénkeraiti
siati
nunka
wáinkiar
tunaarin
yusna
tajai
sepunam
unuiniamurin
enentáijiai
jaka
írunna
atumjai
uchiríyayi
kakarmarijiai
wearmiayi
asakrumin
antuk
pepru
jeá
pujumiayi
taa
nuyasha
páprun
arant
atum
uwempratin
ajasu
chichamjai
krúsnum
asar
nuik
chikichcha
átumka
nuke
kuit
nekaatarum
ainis
nékajai
taku
uuntrisha
neka
akupkamun
kúntuts
jea
nekasaiti
uchiri
aa
imia
aishmankan
nankaamantu
aarma
tuse
pujuinia
niisháa
uchi
wayá
apar
maa
mir
atsá
apa
núnisnak
arantcha
shuarcha
shuarka
pujustinian
menaintiú
jakamunmaya
papí
krístun
pujutainium
turutmiai
wíi
apraám
ṡwarí
jiiki
kakantar
nékarme
yusai
kaya
awai
kanunam
íwianch
jiinki
shuari
armai
yachi
aneamu
yamaisha
jesuska
suntari
tunaanum
pujana
asam
atsawai
nunká
ayampratin
pujuarmiayi
incha
pujuarmia
chichamaik
páchitsuk
túrin
núnis
kashin
pariséu
menaintiu
nékaji
krístujai
nantu
nusháa
enentái
kakarmarin
tiarmai
chicharainiak
uchin
péprunmaya
atumi
wakanin
we
tiniu
wakera
enentáimtusar
ámiayi
atumniasha
juka
tunaari
achik
nuamtak
kashi
ajapén
ṡitiurak
papin
wainkiamjai
uuntrin
ayu
senku
akupkarmiayi
pujus
núnisrumek
ásarmatai
kariréa
yajauchin
jintiá
chikichík
uwí
tájana
numi
jinium
núnisrik
jeanam
ajas
iruntai
tawit
júkiarmiayi
enentáimprarmiayi
nekáa
semun
chikichan
ajasmiayi
túramu
iwianchin
wáinkiarmiayi
enentáimjai
amia
naka
yajasma
nuyanka
shuarin
ayashi
iijiai
jutía
aniasarmiayi
nuwan
enentáimpratarum
pujawai
nuwasha
pítrusha
aishmansha
nújainkia
nunkan
ámin
yusan
ayash
pénkeraitme
túrarum
suntarsha
yusri
túratniun
asakrin
aarmiayi
yakí
akupeamunam
nekasan
tuinia
pénkeran
aentsti
tinia
kapitián
tsanin
kuatru
wakani
titiarum
tsawantin
pápruka
tuíniakui
ujakmiayi
nayaantsanam
takamtsuk
wari
nunkanmasha
timiá
wakerajai
wáinkiamiayi
entsá
pujai
túramun
túrunamtai
núiti
jintinniurisha
shuarnum
piratu
náarin
enentáimsar
wekasatarum
pariséusha
túratin
unuiniamurisha
achikiar
júiti
najanamu
pujusmiayi
iwianch
entsa
apari
atumka
iisar
súsarmiayi
jútas
túratarum
aneartarum
akupkamiayi
aentsu
wakeraji
chichainiak
aencha
wakerana
jerusarénnumia
péejchach
winiasha
jaa
tariar
susamiayi
nuin
pujamunam
tájame
jean
waantu
jákatniunam
tímiajai
tuiniawai
atsamunam
jukí
nekaawar
ee
yajauchiiti
yussha
yurumkan
jeawar
pujustarum
nekaawarat
tímia
nunak
kuítrintin
takatrin
wajaki
pujajai
yatsurtiram
jusé
entsaya
pénkera
túramujai
suntara
