եւ
որ
ու
ասաց
նրան
էր
կը
նրանց
իր
նրա
նա
այն
իմ
ես
քո
էին
երբ
համար
իսկ
մի
ինձ
վրայ
եմ
պիտի
որովհետեւ
հետ
ձեզ
յիսուս
մէջ
այդ
նրանք
էլ
այս
մօտ
քեզ
ասում
թէ
են
թող
եթէ
բոլոր
բայց
ձեր
ինչ
որպէսզի
իրենց
լինի
ինչպէս
աստուած
երկու
դու
ասացին
էք
ով
աստծու
ամբողջ
ոչ
առաջ
մինչեւ
դուրս
չի
այնտեղ
տէրը
երկրի
դուք
քանի
դրա
այլ
ամէն
ժամանակ
օրը
տուեց
գնաց
մասին
որդի
սա
պատասխանեց
եկաւ
տիրոջ
մեզ
ապա
մարդու
մէկը
թէ՝
մեր
յետոյ
եգիպտացիների
տեսաւ
արդ
ծնեց
ահա
մի՛
աւելի
որդին
երկիրը
մարդ
նաեւ
շատ
կամ
մեծ
տէր
չէր
բան
հօր
ժողովուրդը
եղաւ
տէրն
հարիւր
գալիս
կարող
կին
մէկ
ուր
որոնք
դրանք
փարաւոնի
ո՛չ
մարդկանց
լինեն
է»
պէտք
մովսէսը
վեր
մովսէսին
դեռ
ժողովրդի
ի՞նչ
աստծուն
հայրը
չեմ
ոք
ժողովրդին
մովսէսն
աշակերտները
դրեց
երեք
անունը
եօթը
երկրում
ողջ
տալիս
գնում
ճշմարիտ
օր
երկնքի
անգամ
քան
յետեւից
այնպէս
ասել
ձեռքը
դէմ
չէ
եւս
նրանցից
առաւ
նոյն
դա
դէպի
ուզում
դրանց
որդիներն
որի
յովսէփը
խօսքը
մենք
պատասխան
իսրայէլի
չէք
յիսուսին
սա՝
միայն
որդիների
յակոբը
նման
մարդիկ
գնացին
«տէ՛ր
անում
դարձեալ
տարի
ուղարկեց
մինչ
լսում
սակայն
պատճառով
ինչո՞ւ
իրեն
հաց
յակոբի
խօսում
եկան
կողմից
ինքն
միւս
գայ
հինգ
չեն
«եթէ
տիրոջը
նրանից
ո՞վ
չորս
«ես
հօրը
պատրաստես
մտաւ
լաւ
ամէնը
բազում
տունը
իրար
լսեց
որին
ըստ
«այս
ելաւ
անունով
իսկոյն
սուրբ
ենք
որդիները
լերան
սրանք
այստեղ
տայ
աշակերտներին
տեսան
որեւէ
վկայութեան
տեղ
որը
այլեւս
բոլորը
եկել
գտնուող
«ահա
ծովի
հարցրեց
որդիներին
ինքը
աբրահամի
ջուր
մովսէսի
ոմանք
դրանից
կինը
եղբայր
կանչեց
կար
արեցին
այլ՝
չպիտի
շաբաթ
խորանի
յիսուսի
այդպէս
իբրեւ
միջեւ
չէին
աստուածը
ինձնից
տամ
որպէս
որոնց
«ի՞նչ
ինչպէ՞ս
ուրիշ
այսօր
կանգուն
յաւիտենական
փարաւոնը
դնես
արեց
տեսնում
սկսեց
արքայութիւնը
պետրոսը
յարութիւն
«իմ
չար
աբրահամը
«ինչո՞ւ
դարձաւ
կամենում
մեռաւ
որդու
յովսէփի
տակ
ցոյց
տան
երկրից
կանգնած
պատրաստեց
քեզնից
քանանացիների
հայր
մէկն
ասաց՝
պիղատոսը
ծառան
իսահակի
որդուն
յակոբն
կարմիր
մարդուն
կայ
կնոջ
ասելով
դռան
կապոյտ
գրուած
կենդանի
չես
տարեկան
առաջին
ոչինչ
աշխարհի
մաքուր
ոսկէ
յովսէփին
յովսէփն
ում
հաւատում
լինի»
երկրորդ
աչքերը
տասներկու
«քո
վրանի
առաւօտեան
ասացի
հոգին
երեւաց
օրհնեց
յիսուն
«դու
ունէր
երկնքից
աջ
տուր
այժմ
տուն
ուտում
եղած
համար»
բարի
այսպէս
փարաւոնին
մօտեցաւ
տէ՛ր
չկայ
խօսեց
է՝
սիրում
գնայ
այնտեղից
լսեցին
դիմաց
գիշեր
նորից
զոհասեղանի
նոյնպէս
ժողովուրդ
ընկաւ
տեսնելով
են՝
եղել
ժամին
երկնքում
մէկին
փարիսեցիները
մարդը
տեղը
աստծուց
նստեց
խօսքերը
միմեանց
տասը
ցեղապետ
ահարոնին
ոսկուց
կողմը
«այդ
գուցէ
քեզ»
աբրահամին
քիչ
հիմա
ովքեր
լաց
նշան
իսրայէլացիները
մօտեցան
ուսուցանում
«ճշմարիտ
երրորդ
էի
նա՛
արդար
աբրահամն
կացաւ
յակոբին
ոչխարները
շուրջը
գործերը
զգեստները
իսրայէլացիներին
ահարոնը
կատարուի
աղաչում
վրայ»
արու
պտուղ
անել
մէկի
չէ՞
տալ
եղբայրներին
տալու
գլխին
միջից
միթէ
հեռու
եղբայրները
փնտռում
ձեզնից
հրամայել
ահարոնի
նոր
բակի
հրեաների
հանեց
ինձ»
տուել
միջոցով
փոխարէն
ձեռք
լեռը
կանանց
հոգով
հրեշտակը
արդէն
«իսկ
քաղաքի
արել
գնա՛
պատասխանեցին
եսաւի
ունի
առանձին
գան
եղէք
ծիրանի
ընդունում
արքայութեան
հրեաները
լոյսը
արժանի
ելան
շինեց
հայրն
տանը
ոսկով
արքայ
բացի
ասի
բանի
ուրեմն
անդրանիկ
գնացէ՛ք
ճանաչում
յովհաննէսը
նախ
յովհաննէսի
անձը
վա՜յ
«վարդապե՛տ
պատուիրել
ապրեց
քսան
աշխարհը
պիղծ
նստած
եղբայրը
«դուք
հէնց
ժամանակը
օրուայ
յուդան
աղաղակում
«մի
մարմինը
աշակերտներից
խաչը
երուսաղէմ
տեսակ
օրերին
ոչխարների
եմ»
ձեռքով
մօտից
քառասուն
մտքում
վեց
արիւնը
դիմելով
եգիպտոս
դատաստանի
«մի՛
ճանապարհի
նրան»
վերցրեց
խօսել
միասին
դուստր
խիստ
էին՝
պահում
սաստիկ
իսրայէլացիների
շատերը
նրբահիւս
տաճարի
երկինք
անասունների
կերան
լինում
գնանք
տարաւ
աբրամը
կողմում
փարաւոնն
չլինի
գնամ
ծառաները
թէ՞
քաղաքից
բարձրացաւ
հօրից
բաները
ես»
լսել
ասա՛
բերեցին
ոքի
ի՛նչ
աշակերտների
ստեղծեց
կոչեց
դրան
քաղաքը
կանայք
մտան
մօտ՝
պատմեց
յետ
ճանապարհ
եգիպտացիները
սիրտը
ոտքերը
հետ»
արէք
հանեցին
իսահակին
մայրը
տուեցին
ծառաներին
իսահակը
գործ
հացը
անեն
պատեց
առաւել
բարձր
բաներ
կեանքը
վերցնելով
տրուած
հանում
գալիլիայի
սիմոն
փոքր
բերեց
կնոջը
ուտելու
«ո՞վ
կեանք
յղիացաւ
եղիր
յաւիտեան
որդիներ
մնաց
եղբայրների
իջաւ
սպանեն
ընդառաջ
գետին
կաց
այստեղից
ամէնքը
տնից
ձայնը
արծաթ
մօրը
կային
հօրն
կանգնեց
տեսել
սեղան
ահարոնն
կորստեան
կարծր
մարգարէի
երանի՜
չէ՞ք
ժամը
շրջում
«թող
երեկոյ
լինէք
լինելու
լինեմ
քաղաք
երեսուն
նաեւ՝
բարձրացրեց
այնքան
տեսնելու
եկած
պէս
քաղաքում
գտնւում
մեղքերը
գտաւ
ծառային
հարցրին
մէջ»
վախենում
մօր
մօտ»
տուէք
լաբանն
եսաւը
նրան՝
կողմի
անցնում
ե՛ւ
ոչ՝
առնում
վակասի
օղակներ
մոյթերը
մոյթի
կատարում
ասացին՝
իմանում
զարմանում
պետրոսին
օրն
եօթներորդ
պատուիրեց
էլ՝
նայեց
հասան
եղբօր
լինես
ունեցաւ
հասել
փայտից
ունենայ
վերադարձաւ
այսուհետեւ
գեղեցիկ
տարան
ե՛ս
ջրի
նշանակում
հազար
կարողանում
իսահակն
մնում
կրտսեր
ե՞րբ
բանը
հրամայեց
պատմեցին
հոգի
երբեք
գործեր
ներս
դիմաց՝
տեսնէք
գտնի
սուտ
զոհասեղանը
սպասքը
հատ
մարիամը
քրիստոսը
սատանան
իշխանութիւն
ո՛վ
մատնելու
մեռելներից
յայտնեց
գլուխը
կեանքի
հանդէպ
ջուրը
արձակեց
ղովտը
վրանը
անապատում
արքան
իմացաւ
դաշտում
անելու
ուստի
նկատմամբ
ծառայ
ձեռքերը
թոյլ
«այսպէս
օրերը
անի
են»
անցնի
օրեր
կողմ
զոհ
«սա
իրենից
հարց
ծնուած
եզերքին
