agus
an
is
air
na
iad
thuirt
tha
bha
dh
sa
do
ach
gu
ag
ris
ri
nach
am
iosa
riutha
nuair
mi
radh
gun
sin
uile
so
oir
ann
le
sibh
thainig
fhein
as
duine
cha
mach
dha
mar
sam
bith
leis
ga
thug
aig
robh
nan
stigh
bho
eil
de
chaidh
san
chuir
chan
dhe
fear
thu
dhaibh
dheisciopuil
ni
esan
ma
cur
gus
dol
ionnsuidh
iadsan
urrainn
rithist
co
no
mo
gum
eile
falbh
uair
anns
mise
cuid
eoin
mu
comhla
ghabh
ciod
moran
bheil
ribh
chunnaic
sinn
ard
neach
latha
aon
nam
freagairt
dhan
bhith
sgriobhaich
orra
thoisich
nithean
carson
sluagh
da
ur
suas
mun
rinn
agaibh
mac
rioghachd
tigh
aill
dhut
fheadhainn
peadar
dheth
tighearna
spiorad
taobh
aca
maille
leo
chionn
son
don
aite
sluaigh
seachad
bheir
se
aghaidh
eagal
thig
thoirt
seall
deigh
dhol
measg
gur
dhiu
math
cuairt
athair
fhreagair
shagairt
tighinn
lean
laimh
dhiag
laithean
neamh
gabhail
dhaoine
teagasg
bi
far
bithidh
biodh
talamh
bhon
cantuinn
ith
ghrad
sabaid
neoghlan
dhianamh
dia
eirich
fhalbh
daoine
dianamh
rinneadh
leth
their
dhuibh
nis
lamhan
bh
ghalile
ioghnadh
fharraid
toirt
innis
fad
eirigh
phairisich
ithe
ol
ghairm
aran
chuala
cheile
den
mhaighistir
nighean
fios
righ
chiad
mhua
bas
sios
mor
cumhachd
leig
labhairt
fhuair
chur
suidhe
shuidhe
faicinn
thigh
dhi
thuit
seasamh
aige
mhathair
tri
ghlac
fo
fhathast
dian
sann
deimhinn
gach
tainig
mhuir
fhag
bhata
theagasg
spioraid
feadh
tilgeadh
lamh
labhair
facal
clann
fion
amharc
cridhe
ciamar
chuireadh
mhor
cluinntinn
ainm
gam
oirbh
los
teid
tuigsinn
iarr
elias
ro
urnaigh
seanairean
dhuinn
teine
mairi
criosda
sgriobhte
cuiridh
eigheach
eideadh
naomh
lion
seumas
gan
sgaoil
feasgar
fiach
orduich
maois
ceann
bhitheas
aodach
dhaibhsan
fhear
ciadna
firinneach
dubhfhacal
thugaibh
th
thun
agad
dhuine
bhaile
bhean
rainig
mathair
cho
dithis
ge
herod
bialaobh
ierusalem
sibhse
iarraidh
teampull
soisgeul
guth
fhasach
nas
oidhche
satan
ainglean
simon
bhrathair
adhart
breith
oirre
thog
iomadh
bailtean
shagart
chruinnich
nur
feum
mua
thilgeadh
gairm
bhios
toir
bord
cuir
bhuaithe
toradh
fhaighnich
feadhainn
tuilleadh
bhrist
ort
ruith
fhaicinn
deomhan
criochan
innse
dham
leantuinn
mairbh
biadh
bonnaich
mur
aithris
dhad
chridhe
bu
rathad
dall
ta
thoiseach
dheireadh
gaol
aiseirigh
sna
faire
pilat
dianaibh
baistidh
thachair
nasareth
bhaisteadh
mhac
dhiot
fhichead
dail
sinagog
theagaisg
aithne
dhomh
duthaich
cuideachd
beantuinn
leam
cruaidh
beagan
tighe
leaba
smaoineachadh
tog
riut
deisciopuil
traisg
neo
searragan
itheadh
slan
thaobh
bata
chor
bhraithrean
toil
shuidh
tir
rathaid
fhas
thar
ciad
cluasan
dhuibhse
fhacail
eisdeachd
lan
coltach
lethtaobh
gabh
ghuidh
theich
boirionnach
sheall
rithe
brathair
gal
marbh
cadal
bhiodh
ise
uaigh
tighean
beul
fada
fainte
theid
aithn
chrois
anam
faic
leibh
sgainneal
smalar
salann
dheis
ughdaras
chreid
gharadh
chi
iudhach
cheusadh
nuas
magdalen
slighe
baisteadh
shearmonaich
uisge
bhuaireadh
frithealadh
anndra
beag
ball
shimoin
deomhain
leighis
dheomhan
rachamaid
sinagogan
ghiulan
lathair
laidhe
cridheachan
blaisbheum
aonar
aithnich
fianuis
gloir
dhia
mara
maighistir
chluinntinn
trasgadh
bainnse
fhad
seann
theann
ceadaichte
mhiadhon
olc
beatha
thiruis
cuideachda
iudas
iscariot
chairdean
dubhfhacail
roinn
fichead
cluinneadh
luaithe
chluinneas
togaidh
fhacal
saoghail
bheirear
toiseach
leithidean
eathar
dhith
ghaoth
samhach
creideamh
uaighean
cheangal
slabhruidhean
ged
burrainn
daonnan
duthcha
leigeil
truas
sinagoig
chasan
uchd
beo
innte
leir
chaochail
sheumais
onair
be
faidhean
bean
leat
iarras
cheann
leigibh
sgilinn
glacadh
coig
arain
iasg
bheannaich
mile
roimhe
bheinn
miadhon
uamhas
tinn
faodadh
iomall
nighe
thoir
rium
tromh
lar
seachd
comharradh
againn
dad
gabhaidh
chunnacas
eireadh
failt
consachadh
chuireas
leanabh
rachadh
treas
ainmsa
basaich
tig
fheoil
chum
bochdan
beartach
fearann
eiridh
fhios
chailis
rim
ghlaodh
betania
gheibh
asal
fhaoidte
mheirleach
bhuail
mharbh
chlach
clach
seo
fhainte
sgath
tasgaidh
taghte
mhaduinn
ola
caite
coileach
aicheadh
canar
barabbas
ioseph
reir
fhaidh
isaias
roimh
searmonachadh
mathanas
pheacannan
chamhal
dheigh
barail
fhuasgladh
muir
