og
til
som
det
de
for
han
er
skal
jeg
ikke
den
av
på
med
så
en
har
da
dem
du
ham
men
herren
var
mig
sa
dig
fra
hans
sig
gud
at
vil
alle
eder
om
over
ved
hadde
din
sin
min
et
ut
op
blev
kom
mot
vi
sønn
dette
deres
efter
israels
herrens
sier
være
barn
la
sine
se
der
hus
alt
eders
oss
folk
eller
nu
når
dine
land
bli
gjøre
sitt
dag
ord
gikk
kan
guds
mitt
nogen
hvad
hele
ditt
bort
gå
frem
mann
inn
ned
også
herre
kongen
mine
hånd
skulde
gjør
konge
hun
gjorde
kommer
tok
komme
israel
således
folket
si
gi
hvor
denne
ta
blir
gjort
david
sønner
ingen
hos
jorden
tid
få
tilbake
moses
to
fordi
hver
jesus
noget
selv
derfor
forat
drog
navn
menn
fikk
år
sammen
dager
øine
jerusalem
åsyn
svarte
lot
henne
gav
imot
far
andre
disse
blandt
enn
hundre
tre
hjerte
hvem
vår
blitt
landet
mange
mere
skyld
stod
under
går
igjen
bud
hørte
tusen
sted
uten
omkring
bare
både
dets
hellige
må
brødre
dra
gitt
før
kommet
talte
syv
ha
all
himmelen
judas
vet
tjener
hører
førte
store
vilde
likesom
dersom
stor
gir
sendte
juda
vel
ete
holde
satte
hvorfor
sagt
vann
får
ser
ånd
ennu
høre
her
kunde
slo
byer
tjenere
samme
liv
holdt
hustru
rett
våre
midt
annen
bor
døde
meget
lov
siden
like
byen
onde
står
tale
vei
ætt
satt
fem
ting
vrede
godt
intet
bror
holder
gull
føre
røst
ondt
presten
saul
mens
fire
blod
egypten
hennes
munn
ja
hvorledes
falt
kristus
vendte
sett
by
evig
fedre
første
rundt
vær
gjerninger
stå
iblandt
lar
ende
avsted
jakob
sjel
foran
tar
ild
mellem
egyptens
hender
hærskarenes
jo
én
dens
telt
menneske
d.e
datter
kong
brød
hvis
kongens
kalte
vært
taler
sverd
hør
aron
idag
tyve
rike
klær
alen
tro
fred
ihjel
gjennem
heller
davids
hu
dø
talt
veien
hode
ørkenen
langt
hvert
ene
stamme
glede
gode
side
rettferdighet
fått
bo
mor
ropte
salomo
fast
kjenner
ti
bygget
josva
frelse
idet
slå
døtre
herlighet
ett
fare
nær
kvinne
bære
ligger
legge
kastet
død
atter
sølv
bar
alteret
bodde
høire
tatt
kjenne
pakt
slekt
sette
ære
havet
fiender
vite
hverandre
dog
råd
drikke
hørt
synd
føtter
huset
guder
leve
synder
lever
seks
hjem
hær
vende
eldste
folkene
enhver
lenge
prestene
inntil
gang
ofre
dyr
farao
dagen
bød
derefter
frykt
fører
barns
samlet
mennesker
begge
jordens
arv
levittene
konger
ugudelige
makt
bad
visdom
brennoffer
vare
kraft
falle
tolv
loven
skrevet
del
gammel
jordan
abraham
josef
dit
fremmede
disipler
fars
rettferdige
verden
gått
nåde
miskunnhet
annet
natten
setter
lå
aldri
sannelig
sønnen
spurte
hellig
hverken
fjellet
befalt
lik
hit
alltid
måned
tegn
frukt
tretti
derfra
kristi
ætter
vin
borte
lagt
tjene
efterat
vise
stand
bygge
veier
enda
unge
fant
paulus
levende
livet
babel
stort
sendt
elsker
firti
ulykke
lyst
lære
harme
bærer
himmelens
femti
kvinner
latt
filistrene
olje
eget
sant
ark
først
ført
rette
peter
vannet
gjerning
mannen
profeten
jesu
høit
høvdinger
fri
sammenkomstens
tredje
marken
fjell
brøt
eie
engel
sverdet
babels
døden
eter
arbeid
tilhørende
lys
velsignet
funnet
fjellene
fulgte
tjeneste
jeremias
alter
farer
menigheten
offer
misgjerning
åt
gave
samuel
lød
sten
helt
johannes
vender
likeså
urett
vis
sønns
lover
akt
hette
kjærlighet
bønn
morgenen
ellers
uren
ve
vårt
finner
slått
god
esekias
lam
næste
jerusalems
jødene
fader
ødelegge
drar
krig
født
sekel
ånden
hor
joab
solen
flyktet
vend
innbyggere
kjøtt
mennene
vidnesbyrd
ganger
dør
gråt
jakobs
måtte
straks
kvinnen
mat
faller
lenger
evindelig
utenfor
endog
hedningene
natt
ilden
gaver
tror
syvende
fortalte
hjelp
legeme
bedre
egen
efra'im
brenne
trone
lit
alene
øie
jord
finne
prester
søker
forstand
høi
fint
stille
faste
strid
matoffer
kalles
kjød
hvile
folks
arbeidet
øde
drev
hustruer
stad
tallet
forbi
sak
skje
dom
styrke
jorder
nei
fremmed
manasse
templet
føde
orde
sende
drepte
tunge
ansikt
slår
begynte
legger
sterk
ørken
leiren
stykker
søster
møte
enten
bolig
røkelse
skamme
samle
finnes
menneskene
småfe
mengde
isak
vold
sender
sannhet
jonatan
førstefødte
ute
søkte
gilead
kalt
håp
kobber
dømme
ferd
tal
forferdet
okse
bet
slags
større
høie
frykter
berg
stener
profetene
troen
full
ofret
stammer
kunne
hånden
leber
fattige
profeter
port
vilje
ro
urent
syndet
rent
hater
mønstret
steg
sorg
menighet
sion
elskede
menneskesønn
faderen
eiendom
elven
skam
inngangen
elias
sytti
dengang
nok
sterke
fedres
sitter
ren
frelst
samaria
fe
leir
visste
fór
løftet
ødelagt
gods
penger
rede
sang
syndoffer
live
reise
hold
lodd
fulle
ben
okser
moabs
egne
ammons
absalom
helliget
folkeslag
gamle
manns
korn
vidne
hin
drive
skjedde
hester
varer
tanker
nord
profet
filistrenes
mørke
øst
lønn
snart
leiret
ville
billede
følge
stykke
arons
forlatt
engang
rettferdig
øverste
dalen
mors
blodet
evighet
sauls
kunnskap
fødte
roper
kjente
byene
stilte
små
foruten
sela
brente
benjamins
hugg
trengsel
tenkte
svare
fortelle
brennende
tabernaklet
mennesket
måneden
aldeles
ligge
liten
draget
benjamin
stride
vandrer
verk
drepe
hente
fullt
siste
drept
fyrster
vandre
tidlig
landets
regjerte
vandret
åtte
moab
horn
reiste
vidner
igjennem
soning
opskrevet
utrydde
arken
kana'ans
bøide
trådte
porter
porten
ba'al
sitte
frykte
pris
stund
lite
ille
driver
kaste
jes
bok
daniel
josafat
løfte
levde
lang
skjult
egypterne
venstre
ferdig
øre
søke
mål
aftenen
imorgen
prise
høvdingen
vogner
redsel
faraos
slik
eneste
rikdom
ører
tider
legg
syn
vill
elsket
indre
helligdommen
løgn
ugudeliges
fugler
fot
hatt
stedet
ung
støtte
nebukadnesar
rik
edom
bryte
vendt
stav
forlot
menneskesønnen
åpnet
døren
seksti
skjold
trodde
redde
utvalgte
urene
frelser
lovet
velsigne
betel
utvalgt
ull
fortære
konges
tempel
redd
videre
prest
båret
spør
allikevel
hjelpe
tilbede
avguder
hav
visselig
skjulte
drevet
vinger
rop
grunne
lyte
gis
lærte
beder
graven
mørket
tiende
befaling
kaller
grav
tall
trenger
vederstyggelighet
arm
misgjerninger
sions
fjerde
storfe
akter
svik
unda
kjent
folkets
lærer
kar
simon
lyset
ondskap
utryddet
stående
tenker
fantes
assyria
josefs
ny
eleasar
høvdingene
galilea
evangeliet
klædde
lide
kongene
abrahams
engler
klippe
svar
spott
skriftlærde
disiplene
slag
hebron
grunn
ed
forskrifter
hjerter
ordet
tiden
skrev
rører
menneskenes
stige
mel
flere
hodet
hjertet
enden
joas
sedekias
sår
jern
nød
dømmer
abimelek
brennofferet
venn
byder
ånder
viste
dommer
høvding
esau
slaktoffer
familier
sabbaten
takkoffer
rense
rakte
syd
støvet
løfter
kanskje
mark
herres
allerede
bryter
kunngjøre
ildoffer
billeder
brev
jeroboam
jøder
fryd
yppersteprestene
drakk
helbredet
lykke
fryktet
dødsriket
ophøiet
forkynne
ødeleggelse
mette
fangenskap
gleder
skapt
forbannet
trette
damaskus
fienders
spørre
honning
efra'ims
dekke
følger
kongers
salme
hjord
vred
veldige
træl
elisa
åpenbaret
havets
late
salvet
nådig
bord
leie
opover
bileam
forkynner
fariseerne
morgen
kalle
verdens
gutten
resten
rope
forkynte
plass
fg.
altså
hedningefolk
sangmesteren
messias
markens
henders
tilbad
trofasthet
klæ
trede
fremfor
løve
stred
klædd
slippe
overgitt
jeriko
libanon
tyrus
syrerne
mordekai
time
hjertes
vest
løp
lyder
efa
elske
værer
barmhjertighet
mon
hår
muren
amen
abner
jer
mester
pilatus
forlate
vek
abram
forfulgte
høieste
drikk
drikkoffer
gjøres
job
overgi
mur
fiende
velbehag
stadig
striden
fyrste
sannheten
josias
akab
rene
træler
svoret
skrik
aktet
samler
husets
forstå
drikker
helligdom
måte
tjenesten
regn
spyd
salomos
jehu
esaias
ester
begynnelsen
hendte
duft
skyen
bede
fanger
vinne
føres
slm
grensen
ypperstepresten
ber
urenhet
vredes
forkastet
inntok
tomhet
jødenes
fruktsommelig
ni
dekket
velsignelse
hentet
begravet
fly
vakt
gjerne
grep
grepet
skade
velbehagelig
talenter
vanære
foraktet
overgav
basan
behag
venter
forut
engelen
maria
kjødet
aften
grøde
fylt
rørte
vingård
allmektige
tvette
lovt
kappe
hendene
tjente
måneder
rubens
arvelodd
høitid
sinn
gjenstridige
blinde
bann
pakts
skjønner
trær
forstår
åpenbarte
eier
hårdt
småfeet
laban
åk
flokk
