a,413958
i,340241
l,272802
u,251799
c,248771
n,243264
e,207616
ß,168784
t,140647
b,124999
x,119354
r,108551
h,106994
k,99112
j,98595
o,94503
s,80351
q,76334
â,69540
m,53456
y,37192
ê,20415
d,17101
ô,13038
p,12591
î,12043
L,11602
U,11542
z,10958
J,10505
A,9779
C,9765
D,8941
K,6638
M,5683
S,4699
E,4470
I,4350
N,4284
T,3926
Q,3634
û,3618
í,3421
g,3073
á,2996
é,2859
ó,2811
f,2414
ú,2351
v,2338
B,1894
R,1535
X,1223
H,1112
Y,990
G,895
P,885
Z,443
O,424
F,152
Â,31
Ô,20
Ê,17
ñ,15
V,12
ü,1
