ⲟⲩⲟϩ
ϫⲉ
ⲉⲃⲟⲗ
ⲇⲉ
ⲛⲉⲙ
ⲡⲉ
ⲁⲛ
ⲅⲁⲣ
ⲫⲏ
ⲙⲙⲟⲥ
ⲛⲓⲃⲉⲛ
ⲙⲙⲟϥ
ⲛⲁϥ
ϩⲓⲛⲁ
ⲫⲁⲓ
ⲛⲱⲟⲩ
ⲛⲏ
ⲡⲉϫⲁϥ
ⲉⲣⲟϥ
ⲁⲗⲗⲁ
ⲉⲧⲉ
ⲓⲏⲥⲟⲩⲥ
ⲛⲱⲧⲉⲛ
ⲉϫⲉⲛ
ⲟⲩⲟⲛ
ⲁⲛⲟⲕ
ⲧⲏⲣⲟⲩ
ⲉϧⲟⲩⲛ
ⲕⲁⲧⲁ
ⲑⲏⲛⲟⲩ
ⲙⲙⲱⲟⲩ
ⲛⲁⲓ
ⲟⲩⲛ
ⲛⲧⲉⲫⲛⲟⲩϯ
ⲙⲫⲣⲏϯ
ⲫⲛⲟⲩϯ
ⲉⲑⲃⲉ
ⲉϩⲣⲏⲓ
ⲙⲙⲟⲛ
ϩⲓⲧⲉⲛ
ⲟⲩ
ⲡⲭⲣⲓⲥⲧⲟⲥ
ⲛⲑⲟϥ
ⲉⲣⲱⲟⲩ
ⲓⲉ
ⲙⲙⲁⲩ
ⲟⲩⲇⲉ
ⲛⲑⲱⲧⲉⲛ
ⲙⲫⲛⲟⲩϯ
ⲉϣⲱⲡ
ⲟⲛ
ⲛⲏⲓ
ⲓⲥϫⲉ
ϩⲗⲓ
ϣⲁ
ⲁϥⲓ
ⲛϫⲉⲓⲏⲥⲟⲩⲥ
ϣⲱⲡⲓ
ⲉϥϫⲱ
ⲉⲧⲉⲙⲙⲁⲩ
ⲡϭⲟⲓⲥ
ⲉⲧⲁ
ϩⲁ
ⲡⲉϫⲉ
ⲛⲁⲕ
ⲛⲑⲟⲕ
ⲛϧⲣⲏⲓ
ⲟⲩⲁⲓ
ϩⲓ
ⲧⲉ
ⲫⲣⲏϯ
ϩⲓϫⲉⲛ
ϧⲁ
ⲉⲩϫⲱ
ⲛⲛⲏ
ϯⲛⲟⲩ
ϣϫⲟⲙ
ϯϫⲱ
ⲛϧⲏⲧϥ
ⲙⲙⲱⲧⲉⲛ
ⲁⲛⲟⲛ
ⲙⲉⲛ
ⲧⲏⲣϥ
ⲁϥⲉⲣⲟⲩⲱ
ⲉⲣⲱⲧⲉⲛ
ⲡⲁⲓⲣⲏϯ
ⲛⲑⲱⲟⲩ
ⲛⲓⲙ
ϩⲏⲡⲡⲉ
ⲓⲥ
ⲛϩⲏⲧ
ⲧⲟⲧⲉ
ⲓⲥϫⲉⲛ
ⲛⲉⲙⲁϥ
ⲛϧⲏⲧⲟⲩ
ⲉϧⲣⲏⲓ
ⲙⲙⲟⲓ
ⲉⲣⲉ
ⲙⲡⲁⲓⲣⲏϯ
ⲛⲁⲛ
ⲁⲩⲓ
ⲙⲫⲏ
ϧⲉⲛⲑⲏⲛⲟⲩ
ⲉⲧϧⲉⲛ
ⲡⲉϫⲱⲟⲩ
ⲁⲙⲏⲛ
ⲟⲩⲙⲏϣ
ⲉⲑⲃⲉⲫⲁⲓ
ⲡϣⲏⲣⲓ
ⲙⲏ
ⲫⲁ
ⲑⲏ
ⲙⲡⲉⲙⲑⲟ
ⲛϩⲣⲏⲓ
ϩⲱⲥ
ⲉⲣⲟⲓ
ⲡⲓⲟⲩⲁⲓ
ⲉⲟⲩⲟⲛ
ⲙⲉⲛⲉⲛⲥⲁ
ⲛⲉⲙⲱⲟⲩ
ⲉⲧϣⲟⲡ
ⲛⲥⲱϥ
ⲉⲧⲁϥⲓ
ⲁⲥϣⲱⲡⲓ
ⲁϥϣⲉ
ⲛⲉ
ⲥⲁⲃⲟⲗ
ⲙⲡϭⲟⲓⲥ
ϧⲉⲛⲧⲫⲉ
ϩⲁⲣⲟϥ
ⲉⲑⲃⲉⲟⲩ
ⲛⲧⲉⲛ
ⲛⲧⲟⲧϥ
ϧⲉⲛⲛⲏ
ⲉⲣⲁⲧϥ
ⲉⲛⲉϩ
ⲛϩⲟⲩⲟ
ϩⲓⲧⲟⲧϥ
ϧⲁⲧⲉⲛ
ⲙⲁϣⲉ
ϩⲱϥ
ⲉⲧⲁⲩⲓ
ϧⲉⲛ
ϩⲱ
ⲙⲙⲁⲩⲁⲧϥ
ⲡⲁⲩⲗⲟⲥ
ⲫⲓⲱⲧ
ⲉⲣⲟⲕ
ⲉⲃⲏⲗ
ⲛϣⲟⲣⲡ
ⲡⲱⲥ
ⲙⲫⲣⲱⲙⲓ
ⲛⲁⲥ
ϩⲱⲧⲉⲛ
ⲡⲓⲕⲁϩⲓ
ϩⲱⲥⲧⲉ
ⲉⲣⲟⲥ
ϩⲱⲃ
ⲛⲟⲩⲱⲧ
ⲓⲱⲁⲛⲛⲏⲥ
ⲉⲧⲁϥⲛⲁⲩ
ⲉⲡⲉⲥⲏⲧ
ⲛⲁⲣⲉ
ⲟⲩⲛⲓϣϯ
ⲛⲁⲥⲛⲏⲟⲩ
ⲡⲉⲧⲣⲟⲥ
ⲛⲓⲣⲱⲙⲓ
ⲁϥϣⲱⲡⲓ
ⲉϥⲟⲓ
ⲟⲩⲣⲱⲙⲓ
ⲛⲓⲏⲥⲟⲩⲥ
ⲉⲛⲏ
ϧⲁⲧϩⲏ
ⲙⲙⲟⲕ
ⲡⲓⲙⲁ
ⲛⲣⲱⲙⲓ
ⲙⲁⲗⲗⲟⲛ
ⲑⲁⲓ
ⲉⲡϣⲱⲓ
ⲉⲣⲁⲧⲟⲩ
ϩⲁⲛⲟⲩⲟⲛ
ⲙⲡⲉ
ⲛⲉϩⲟⲟⲩ
ⲛⲉⲙⲏⲓ
ⲛⲉⲛⲉϩ
ⲛⲥⲏⲟⲩ
ⲓⲧⲉ
ⲉϫⲱϥ
ⲛⲁⲩϫⲱ
ⲡⲉⲛϭⲟⲓⲥ
ⲟⲩⲉⲃⲟⲗ
ⲛϫⲉⲫⲏ
ϩⲁⲣⲱⲧⲉⲛ
ⲁϥϯ
ⲛⲧⲉⲡⲭⲣⲓⲥⲧⲟⲥ
ⲉⲑⲛⲏⲟⲩ
ⲧⲏⲣⲥ
ⲡⲕⲁϩⲓ
ⲛⲟⲩⲟⲛ
ϩⲟⲧⲉ
ⲛⲉⲙⲱⲧⲉⲛ
ⲛⲁ
ϧⲉⲛⲡⲭⲣⲓⲥⲧⲟⲥ
ⲥⲁⲧⲟⲧϥ
ⲡⲁⲗⲓⲛ
ⲛⲛⲁⲓ
ⲛϩⲗⲓ
ⲉⲑⲙⲱⲟⲩⲧ
ⲁⲓⲛⲁⲩ
ⲡⲟⲩⲣⲟ
ⲧⲏⲥ
ⲛϫⲉⲛⲏ
ⲛⲁϥϫⲱ
ϣⲟⲡ
ⲉⲣⲟⲛ
ⲡⲓⲛⲟⲙⲟⲥ
ⲉϫⲱⲟⲩ
ⲉⲣⲉⲧⲉⲛⲟⲓ
ⲉⲧⲭⲏ
ⲉⲓⲉⲣⲟⲥⲁⲗⲏⲙ
ⲁⲛⲁⲩ
ϣⲁⲛ
ⲉⲧⲁⲩⲛⲁⲩ
ⲛⲟⲩⲙⲏϣ
ⲛⲧⲉⲡϭⲟⲓⲥ
ⲛⲛⲓⲣⲱⲙⲓ
ⲙⲃⲉⲣⲓ
ⲁⲣⲉϣⲁⲛ
ϧⲉⲛⲟⲩⲛⲓϣϯ
ⲡⲁϭⲟⲓⲥ
ⲉⲑⲃⲏⲧϥ
ⲁϥⲛⲁⲩ
