un
bet
kas
viņš
no
es
ir
jūs
lai
jo
to
sacīja
viņu
ka
tas
tad
ar
par
jums
kā
bija
tie
viņa
tā
ko
viņam
pie
arī
dieva
jēzus
ja
tiem
vai
tu
mēs
kad
viņi
uz
ne
nav
mani
man
savu
viņiem
dievs
tam
mums
kristus
mūsu
jūsu
tos
kungs
tāpēc
dēļ
tev
visu
visi
pēc
dievu
līdz
vēl
kunga
atbildēja
kam
lūk
esmu
saku
tevi
būs
būtu
dēls
tās
kāds
sacīdams
priekšā
savā
tur
daudz
viens
jēzu
pret
nekā
kur
šo
esi
esat
tanī
tēvs
brāļi
savas
tagad
visiem
vārdā
pats
sevi
jau
patiesi
neviens
vārdu
zemes
mūs
dievam
cilvēka
gan
kopā
saviem
caur
pār
šis
gars
dienā
saka
aizgāja
cilvēks
atkal
sacīdami
šī
tikai
tāpat
vairs
tēva
viss
cilvēku
tiks
vairāk
pēteris
esam
mans
pat
bez
sava
manis
šīs
mācekļi
nāca
vienu
dienas
starp
nāk
pāvils
tika
gara
debesīs
ļaudis
rakstīts
debesīm
gāja
notika
garu
daži
kristu
kamēr
mācekļiem
dēlu
savus
redzēja
kādu
kungu
pasaules
atnāca
viņus
visā
nebija
it
tēvu
deva
tai
miesas
mana
kāpēc
runāja
lūdza
rokas
manu
katrs
labu
saskaņā
garā
jautāja
rakstu
citu
nāks
tiek
daudzi
tūdaļ
tava
paši
jūdi
viņas
visa
cilvēkiem
kristū
dara
divpadsmit
viņā
ticībā
zemē
pirms
vārds
kļuva
dzīvo
visas
visus
bērni
jānis
esiet
vārdus
šinī
tautas
otru
sāka
pa
izgāja
neesmu
farizeji
ticības
jūdu
iet
ļaužu
sūtīja
krustā
žēlastība
tātad
miesa
cits
mozus
vienmēr
eņģelis
paliek
kalps
runā
būdams
nebūs
cik
savās
iegāja
dod
maizi
runāt
grēku
kungam
virs
viena
acis
nebūtu
redzēju
ļoti
dzirdēja
brāli
ārā
sevī
sauca
ļaudīm
bēdas
kuru
svētnīcā
laikā
sev
darīt
svēto
pasaulē
manā
tautu
izraēļa
sirds
brīnījās
darbiem
namā
kāda
pilsētā
tiktu
sekoja
roku
devis
šeit
labi
ķēniņš
ap
augļus
evaņģēliju
ej
sevis
kājām
divi
varu
pagāniem
tomēr
jēzū
vietā
nevar
miesu
ticību
pavēlēja
miroņiem
lūdzu
jeruzalemi
ticība
pilsētas
liecību
nonāca
kaut
trīs
vīna
jūdiem
jeruzalemē
cilts
tevis
jūras
miers
citi
priesteri
darīja
mācītāji
vidū
darījis
priesteris
sakām
svētā
vien
divus
liels
gribu
sieviete
savām
sūtījis
balsi
teica
sacīju
būt
pilāts
likumu
ļaunu
darbus
mīl
neesat
jūsos
starpā
šie
iepriekš
vispirms
vārdi
sirdis
tic
asinīm
biju
manas
likuma
atrada
ceļu
dienās
maizes
sēdēja
grib
godu
tavs
cita
stāvēja
katram
tavu
patiesības
dzīvības
māte
vīrs
redzēdams
tuksnesī
saki
cilvēki
savam
dāvanas
tik
zināt
augstie
žēlastības
zinām
zinu
brāļiem
diena
likums
svētajiem
dzemdināja
grēkiem
laiku
bērnu
citus
labā
labāk
bojā
nu
tavā
dzird
tāds
brālis
kurā
cilvēkam
mācītāj
nevienam
dienām
kājas
svētais
marija
viņai
bērnus
ūdens
debess
zemi
sacīs
amen
nedz
tām
nekad
vīri
sauc
kurus
palika
mīlestība
spēkā
balsī
gods
kungā
pāvilu
dāvida
pravietis
kura
šiem
rokām
tauta
turienes
mācīja
šodien
dzīvību
dots
dienai
bērniem
šos
vara
var
ieiet
laiks
pasauli
drēbes
miesā
tādi
pirmais
ticēja
lielā
raksti
dzirdēju
kristum
celies
grēkus
lielu
laivā
ļauna
pāri
nomira
spēku
nekas
šim
ēst
krita
runāju
pasaule
stunda
nāvi
meklēja
vīru
atstāja
atgriezās
valstību
dēlam
dot
atnācis
mājās
katru
sīmanis
mieru
grēks
dota
kalpi
tēvam
daru
asinis
darbu
augstais
mūžīgi
grēka
ejiet
tanīs
vārda
sirdī
pravieši
stundā
seko
nama
tiesas
uguns
sievas
tūkstoši
sievietes
šķiet
mācību
kļūtu
žēlastību
galilejas
jāņa
kādreiz
gaisma
taisnības
jābūt
lūdziet
tavi
nācis
nonāvēt
cietumā
vārdiem
kurienes
kliedza
septiņas
prātu
sludināja
kādā
visās
manī
mīlestībā
dēla
ābrahama
iekams
ņem
naktī
ūdeni
cienīgs
jāni
namu
sirdīs
sabatā
dzirdēdami
līdzību
vietu
godības
nezināt
ceļā
bauslības
pašu
katra
neko
noticis
sievu
pielūdza
saņēmuši
paņēma
nāc
liela
dzirdējāt
valstība
dzīvība
tiesu
tādu
garus
zem
valstībā
pravieša
nevarēja
vārdos
uzņem
lielāks
galda
sieva
troņa
tuvu
desmit
gadus
brāļus
nāves
dariet
augstā
eņģeļi
visām
svētīgi
dzirdējuši
nevienu
zina
labs
manus
atnesa
galvu
redzēdami
ēd
vienā
priesteriem
redzēt
dienu
svētnīcas
varētu
miris
nāve
herods
parādījās
notiks
balss
ugunī
došu
pilsētu
laika
neviena
redzētu
dos
debesu
otrā
priekšnieks
avis
mācekļus
šai
ēda
tiesā
ausis
labo
jeruzalemes
jēzum
kalpiem
zelta
daļa
atpakaļ
mīlestību
jēkabu
dzimis
māti
teicis
ņēma
sacījis
notiek
taču
četrdesmit
piegāja
sacīts
ikviens
nē
labajā
klāt
praviešiem
ļaunos
godināja
ļaunais
pilns
labās
paņēmis
debesis
mūžīgo
otrs
atrodas
pretim
citam
nāvei
ziņā
tiešām
miesīgi
mīlestības
ābrahams
kuras
gribēja
jūdejas
pienākas
iziet
mutes
eņģeļiem
akmens
godību
tālāk
ļaunā
laulības
darāt
vīģes
līdzīgs
aiziet
domāja
zinātu
jaunu
zināms
nākošajā
pārpilnībā
tautai
četri
vajag
vaiga
rokās
sākuma
citiem
kļuvis
patiesībā
pieder
jēkaba
pēterim
esot
aiz
evaņģēlija
patiesību
tēvi
darbos
kļuvuši
sveiciniet
ķēniņu
bērns
taisnību
kalnā
sinagogās
galvas
līdzīgi
tāda
tavas
akmeni
izgājuši
mācītājs
nodos
māceklis
spēj
sinagogā
meklē
pienāca
septiņi
izgājis
darīs
dzīves
dzīvi
vienam
tuvojās
dari
nākt
augšāmcelšanās
tavus
nomodā
saņēmis
ik
sita
saņēma
kapa
lielās
apustuļi
zini
tādēļ
eju
likumam
sveicina
jēkabs
pravieti
zeme
uzcēlies
nes
dāvanu
acs
algu
durvis
mantu
nebīstieties
darītu
iegājis
daudzus
gari
redzot
bieži
naudu
atnāks
mātes
būdami
zīme
sapulcējās
divas
sakāt
liecība
pēteri
iespējams
atdeva
vecākie
neesam
priestera
eņģeli
staigā
mierā
valodās
taisnīgi
pagānu
miera
daļu
prieks
drīz
agrāk
darbi
uzmodināja
ticīgi
pateicoties
dāvids
taisnīgs
pavēlējis
atradās
akmeņiem
koks
kļūst
sludināt
pilnīgi
dzirdēdams
cēlās
nodeva
dvēseli
svētīgs
vienīgi
kurš
redzēsiet
spēks
ceļos
atlaida
lika
grāmatu
stundu
dzert
garām
nams
saņemtu
otram
nonāvēja
dvēseles
dzīvotu
celsies
sīmaņa
derības
daudziem
reizē
stiprā
atklāti
ps
lietās
bailes
redzējis
ābrahamam
varas
kalpo
bauslību
mūsos
patiesība
dzīvojam
kārībām
saukts
aizsūtīja
diviem
mācīdams
koku
aizveda
nodots
redz
jūru
izdziedināja
pilsēta
jā
sit
pagāni
kuriem
lūgt
godībā
netiktu
dotu
drēbēs
vīnu
dzīvos
gribat
elijs
paliktu
tautām
sātans
pazīst
redzējuši
stāstīja
gals
eņģeļus
nakts
mācības
augstajiem
stāvam
mūžam
kādam
ķeizara
ticībai
savos
darbā
bijis
vajadzēja
nedaudz
eņģeļu
pārvaldnieks
durvīm
mācībā
redzi
augšām
garam
kristīti
grāmatā
prieku
dzirdējām
apustuļiem
aicinājis
pacietībā
apustulis
mūžos
baidījās
svētajā
atstājis
sīmani
jūrā
baušļus
nezina
vainas
tevī
nevarat
strādā
sargieties
augļiem
māju
mirušajiem
mācītājiem
ieraudzījis
