า,9918715
น,8855164
ร,8036542
อ,6342156
ก,6231093
เ,5988903
ง,5765784
ม,5003973
ย,4062002
ล,3983296
ว,3803797
ด,3571077
ท,3413560
ส,3142526
ต,3030844
ะ,2845728
ป,2754514
บ,2663855
ห,2445486
ค,2444250
แ,2346831
จ,2098710
พ,2009317
ช,1712031
ใ,1684693
ข,1671725
ไ,1446826
โ,1237470
ศ,1037397
ำ,1008290
ซ,710527
ถ,630092
ธ,540189
ภ,501480
ผ,491079
ณ,489251
ษ,487654
e,420402
ญ,404906
a,368613
ฟ,321292
i,316505
o,304239
n,287576
r,279340
t,253280
s,207727
ฐ,202296
l,192007
ฮ,146737
c,133824
u,129306
ๆ,125839
h,121823
ฉ,117435
ฤ,114845
d,114813
m,108364
ฝ,102085
p,79932
g,79775
ฏ,72513
y,71116
S,68442
C,61176
ฎ,60764
A,60734
T,52944
f,52723
ฒ,52358
M,48060
b,47410
P,41769
B,39941
k,39785
v,38147
I,34626
D,34474
E,34464
ฬ,34122
ฑ,33527
R,33282
w,30908
L,29449
ฆ,29055
N,28598
H,27532
G,27438
W,27137
F,26812
ฯ,25285
O,24703
K,16442
x,16111
V,15632
U,13039
J,12946
z,12110
Y,8367
ฌ,7257
X,6605
j,6561
q,4282
Z,3969
Q,2740
é,2191
ا,1025
á,1018
ō,973
ā,852
α,814
ๅ,788
ل,726
ー,617
の,595
а,569
ó,549
ο,535
ü,529
í,479
ン,472
à,470
王,464
ö,461
大,454
ς,444
о,443
è,439
и,438
م,428
ν,419
ر,412
ي,412
ī,406
ن,405
ρ,382
ū,372
λ,356
н,354
е,352
ι,347
р,346
ε,342
μ,332
π,328
τ,310
ä,306
ú,303
و,297
イ,285
ب,277
天,270
ル,270
с,263
د,262
子,259
中,249
κ,248
ラ,243
É,240
ì,238
ē,237
β,237
ス,237
人,236
л,233
い,233
σ,226
θ,225
ç,224
太,224
т,220
в,219
γ,217
រ,216
帝,215
國,215
к,213
皇,211
ฃ,209
ی,208
س,207
ა,207
李,202
र,200
ฅ,197
山,195
â,194
ク,191
ع,189
δ,175
国,174
后,174
リ,174
ت,170
ト,170
ω,168
ə,168
な,164
ه,163
φ,159
ό,154
宗,153
ô,152
ッ,152
이,152
公,151
д,151
ê,150
文,150
ί,149
м,148
æ,148
三,147
ស,146
平,145
神,144
金,143
ح,143
武,142
之,142
江,141
南,141
一,139
ア,139
海,138
新,136
朝,133
म,132
州,132
न,132
日,131
ǐ,131
υ,130
学,129
元,129
明,128
ダ,128
у,127
ة,127
ន,127
シ,127
왕,127
त,126
η,126
क,126
か,125
ò,123
ド,123
女,123
ジ,122
し,122
ˈ,121
カ,121
š,121
ん,120
劉,119
ǎ,119
西,118
安,118
光,118
ف,118
ម,117
대,117
家,117
ά,116
城,116
С,114
た,113
高,113
ロ,112
漢,111
ñ,111
道,111
व,109
小,109
レ,108
ق,108
य,106
戦,106
り,106
Đ,105
ら,105
რ,105
マ,105
າ,105
я,104
田,104
ø,104
Δ,104
宋,103
ǔ,103
る,103
ក,102
ɪ,101
う,101
オ,100
五,100
ù,100
ャ,99
上,96
ウ,96
世,96
生,96
バ,96
ム,95
ฦ,95
ទ,94
に,94
ː,93
君,93
北,92
ج,92
ß,91
キ,90
花,90
地,90
華,90
б,89
真,89
仁,89
和,89
ガ,88
東,88
不,87
月,87
ë,87
川,86
水,86
福,86
グ,86
タ,86
民,86
馬,85
स,84
ჷ,84
ã,83
代,83
軍,83
ή,83
法,83
白,83
く,83
й,83
დ,82
វ,82
έ,81
п,81
德,81
А,81
原,81
ك,81
정,80
ង,80
г,80
京,79
長,79
フ,79
Р,79
は,79
と,79
ы,78
本,78
四,78
陽,78
ប,78
ă,77
ィ,77
き,77
ı,77
忠,77
成,76
美,76
ნ,76
χ,75
ć,75
မ,75
市,74
夜,74
パ,74
군,73
ش,73
ě,72
宮,72
ط,72
年,72
č,72
ງ,72
ł,71
士,71
さ,71
を,71
의,71
院,71
治,70
少,70
張,70
春,70
인,70
ი,70
ь,70
星,70
エ,70
つ,69
龍,69
主,69
河,69
青,69
ल,69
字,69
デ,69
時,68
ブ,68
テ,68
प,68
ύ,68
ត,68
十,67
趙,67
氏,67
心,67
司,67
ह,67
正,67
з,67
コ,67
द,67
林,66
的,66
ч,66
れ,66
